chr,pos,ensg,enst,ense,genID,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,n_exones_en_pos
chr9,63898518,ENSG00000069431,ENST00000261201,ENSE00003911324,ABCC9,95.074,203,10,0,973,1175,2515,2717,1.2700000000000001e-85,320.0,2
chr9,41047837,ENSG00000069431,ENST00000261200,ENSE00000822276,ABCC9,98.515,202,3,0,587,788,2940,2739,6.450000000000003e-97,357.0,2
chr1,58963461,ENSG00000069431,ENST00000261201,ENSE00003911324,ABCC9,91.848,184,14,1,2943,3125,2515,2698,9.75e-66,255.0,2
chr2,128082398,ENSG00000143322,ENST00000502732,ENSE00001445181,ABL2,93.158,190,11,1,783,972,7430,7243,6.39e-73,278.0,2
chr17,75431292,ENSG00000143322,ENST00000344730,ENSE00001386803,ABL2,92.857,210,15,0,483,692,6847,6638,2.0699999999999998e-81,305.0,2
chr6,97238860,ENSG00000143322,ENST00000344730,ENSE00001386803,ABL2,90.909,220,19,1,281,500,6589,6807,3.18e-78,294.0,2
chr3,11599600,ENSG00000143322,ENST00000502732,ENSE00001445181,ABL2,92.166,217,17,0,1,217,7348,7132,4.71e-82,307.0,2
chr12,118295133,ENSG00000107897,ENST00000676732;ENST00000677901;ENST00000677960;ENST00000677141;ENST00000677667;ENST00000677200;ENST00000677248;ENST00000677509;ENST00000679220;ENST00000678446,ENSE00003908013,ACBD5,90.256,195,16,2,1,194,1319,1511,3.9e-65,252.0,8
chr19,38774746,ENSG00000078124,ENST00000681732,ENSE00003913335,ACER3,93.578,218,12,1,311,528,3539,3754,7.28e-87,324.0,5
chr7,105511135,ENSG00000078124,ENST00000681375,ENSE00003912653,ACER3,90.099,202,18,2,1,201,3714,3514,4.49e-68,261.0,5
chr2,128082398,ENSG00000164398,ENST00000651127,ENSE00003848416,ACSL6,92.268,194,13,1,783,974,2788,2595,8.27e-72,274.0,4
chr3,11599600,ENSG00000164398,ENST00000489047,ENSE00001957342,ACSL6,95.169,207,10,0,7,213,3227,3021,3.62e-88,327.0,4
chr17,75194495,ENSG00000164398,ENST00000651127,ENSE00003848416,ACSL6,90.196,204,16,3,433,633,2741,2539,1.15e-68,263.0,3
chr1,23277272,ENSG00000164398,ENST00000357096,ENSE00001404995,ACSL6,91.628,215,15,2,7255,7467,2486,2699,4.95e-77,294.0,4
chr12,131871548,ENSG00000164398,ENST00000357096,ENSE00001404995,ACSL6,90.654,214,17,1,586,796,2491,2704,4.03e-74,281.0,4
chr3,155814056,ENSG00000164398,ENST00000489047,ENSE00001957342,ACSL6,94.286,210,11,1,1,209,3228,3019,8.420000000000001e-86,320.0,4
chr2,128082398,ENSG00000151694,ENST00000647622,ENSE00003837912,ADAM17,92.857,196,11,3,783,975,2879,2684,4.939999999999999e-74,281.0,2
chr22,31355855,ENSG00000151694,ENST00000699325,ENSE00003976266,ADAM17,91.549,213,15,2,454,665,278,68,5.55e-77,291.0,2
chr12,131871548,ENSG00000153531,ENST00000612156,ENSE00003743299,ADPRHL1,90.566,212,18,2,581,791,7778,7988,1.45e-73,279.0,2
chrX,48672720,ENSG00000144218,ENST00000409236;ENST00000672756,ENSE00001587550,AFF3,90.826,218,20,0,1,218,2235,2018,1.5800000000000001e-77,292.0,3
chr19,38774746,ENSG00000018510,ENST00000679639,ENSE00003913288,AGPS,94.34,212,12,0,308,519,234,445,2.02e-87,326.0,2
chr15,74216609,ENSG00000106546,ENST00000242057,ENSE00003844503,AHR,90.783,217,16,3,1,215,1783,1997,2.03e-75,287.0,2
chrX,15267555,ENSG00000147853,ENST00000381809,ENSE00001929396,AK3,91.981,212,12,3,1,209,2672,2881,2.02e-77,292.0,2
chr14,21260117,ENSG00000122787,ENST00000242375,ENSE00003850388,AKR1D1,91.919,198,16,0,569,766,1120,1317,5.000000000000001e-73,278.0,2
chr6,96983518,ENSG00000117020,ENST00000672442,ENSE00003889053,AKT3,91.623,191,15,1,1,191,277,88,2.99e-68,263.0,2
chr2,238637907,ENSG00000112294,ENST00000672352,ENSE00003888965,ALDH5A1,92.991,214,15,0,1,214,2105,2318,2.51e-83,313.0,3
chr3,174762375,ENSG00000107890,ENST00000675439,ENSE00003902634,ANKRD26,90.411,219,20,1,2276,2493,1701,1483,2.75e-75,287.0,2
chr7,105511135,ENSG00000177738,ENST00000499871,ENSE00001963774,ANXA2R-OT1,90.404,198,17,2,1,197,43,239,1.6099999999999998e-67,259.0,3
chr22,37529117,ENSG00000177738,ENST00000314957,ENSE00004135938,ANXA2R-OT1,95.192,208,9,1,381,587,208,1,3.78e-88,327.0,2
chr21,25880076,ENSG00000177738,ENST00000499871,ENSE00001963774,ANXA2R-OT1,91.818,220,17,1,290,508,238,19,1.49e-81,305.0,2
chr7,47652446,ENSG00000177738,ENST00000499871,ENSE00001963774,ANXA2R-OT1,91.667,180,14,1,42,220,59,238,3.45e-64,248.0,3
chr14,21260117,ENSG00000177738,ENST00000702244,ENSE00003985241,ANXA2R-OT1,92.424,198,15,0,569,766,594,397,1.07e-74,283.0,2
chr22,37529117,ENSG00000128383,ENST00000249116,ENSE00003850593,APOBEC3A,94.954,218,10,1,381,598,184,400,4.86e-92,340.0,2
chr14,21260117,ENSG00000128383,ENST00000402255,ENSE00000911265,APOBEC3A,94.792,192,9,1,569,760,185,375,3.8400000000000005e-79,298.0,2
chr7,105511135,ENSG00000137074,ENST00000673416,ENSE00003893426,APTX,90.306,196,14,2,1,192,2143,1949,2.7000000000000007e-65,252.0,3
chr5,43541207,ENSG00000260372,ENST00000664897,ENSE00003876202,AQP4-AS1,91.667,216,15,2,1,213,1326,1541,1.63e-78,296.0,3
chr10,96439188,ENSG00000260372,ENST00000656601,ENSE00003879467,AQP4-AS1,90.233,215,21,0,1,215,708,922,5.9399999999999995e-74,281.0,3
chr17,75194495,ENSG00000260372,ENST00000656601,ENSE00003879467,AQP4-AS1,90.594,202,17,2,433,633,665,865,8.87e-70,267.0,3
chr3,11599600,ENSG00000260372,ENST00000664897,ENSE00003876202,AQP4-AS1,93.088,217,15,0,1,217,1325,1541,2.18e-85,318.0,3
chr3,155814056,ENSG00000260372,ENST00000670815,ENSE00003882179,AQP4-AS1,91.509,212,17,1,1,211,707,918,6.6000000000000006e-77,291.0,3
chr22,31355855,ENSG00000260372,ENST00000669364,ENSE00003852216,AQP4-AS1,91.919,198,14,1,469,666,2,197,1.5500000000000002e-72,276.0,4
chr2,128082398,ENSG00000260372,ENST00000664897,ENSE00003876202,AQP4-AS1,92.67,191,13,1,783,973,1242,1431,8.27e-72,274.0,3
chr14,21260117,ENSG00000145819,ENST00000486650,ENSE00003464378,ARHGAP26,91.919,198,16,0,569,766,3844,4041,5.000000000000001e-73,278.0,3
chr3,152893522,ENSG00000145819,ENST00000645722,ENSE00003842834,ARHGAP26,90.385,208,17,2,1,206,3943,4149,1.61e-70,270.0,2
chr3,11599600,ENSG00000145819,ENST00000645722,ENSE00003842834,ARHGAP26,93.103,203,14,0,15,217,4045,3843,2.8300000000000005e-79,298.0,2
chr9,65585250,ENSG00000243069,ENST00000467912;ENST00000657305,ENSE00001916883,ARHGEF26-AS1,90.64,203,19,0,14,216,1870,1668,6.28e-71,270.0,4
chr5,97530702,ENSG00000243069,ENST00000491862,ENSE00001845203,ARHGEF26-AS1,90.909,209,18,1,13,221,1799,1592,5.0100000000000003e-73,279.0,2
chr4,119796374,ENSG00000243069,ENST00000491862,ENSE00001845203,ARHGEF26-AS1,92.67,191,14,0,461,651,1668,1858,1.52e-72,276.0,4
chr15,74216609,ENSG00000131089,ENST00000672467,ENSE00003889404,ARHGEF9,90.323,217,18,2,1,215,1615,1830,9.46e-74,281.0,3
chrX,15267555,ENSG00000135931,ENST00000611582,ENSE00003735728,ARMC9,90.0,210,13,2,1,210,666,867,4.3899999999999997e-69,265.0,2
chrX,15267555,ENSG00000148331,ENST00000277458,ENSE00003612082,ASB6,90.385,208,16,4,1,208,2262,2059,9.44e-71,270.0,2
chr3,174762375,ENSG00000118217,ENST00000679853,ENSE00003914540,ATF6,90.455,220,20,1,2275,2493,1242,1023,7.66e-76,289.0,2
chr2,128082398,ENSG00000118217,ENST00000367942,ENSE00001445974,ATF6,93.75,192,12,0,783,974,1244,1053,2.95e-76,289.0,2
chr12,49611687,ENSG00000118217,ENST00000367942,ENSE00001445974,ATF6,95.676,185,8,0,1,185,1053,1237,3.7300000000000006e-79,298.0,2
chr16,433137,ENSG00000118217,ENST00000367942,ENSE00001445974,ATF6,90.659,182,16,1,1,181,1138,957,6.28e-62,241.0,2
chr5,43541207,ENSG00000118217,ENST00000367942,ENSE00001445974,ATF6,91.5,200,14,2,1,197,1159,960,2.74e-71,272.0,2
chr3,11599600,ENSG00000118217,ENST00000679853,ENSE00003914540,ATF6,94.03,201,12,0,1,201,1160,960,1.69e-81,305.0,2
chr19,6318734,ENSG00000118217,ENST00000679853,ENSE00003914540,ATF6,90.783,217,17,2,464,680,960,1173,7.34e-76,287.0,2
chr3,152893522,ENSG00000118217,ENST00000367942,ENSE00001445974,ATF6,91.262,206,18,0,1,206,1044,1249,7.45e-74,281.0,2
chr14,100957286,ENSG00000126775,ENST00000247178,ENSE00003657403,ATG14,90.0,200,18,2,1198,1397,1502,1699,1.87e-66,257.0,2
chr14,100957286,ENSG00000149311,ENST00000525537,ENSE00003920666,ATM,90.164,183,17,1,1207,1389,376,557,2.4299999999999998e-60,237.0,2
chr2,128082398,ENSG00000255545,ENST00000777360,ENSE00004146005,B3GAT1-DT,92.632,190,13,1,784,973,310,122,2.97e-71,272.0,2
chr8,145027990,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,92.958,213,11,4,713,923,1818,1608,2.4399999999999997e-81,307.0,2
chr11,67222609,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,94.898,196,7,3,340,535,1818,1626,5.67e-81,303.0,2
chr11,93946711,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,93.689,206,9,4,425,630,1818,1617,1.8699999999999998e-81,305.0,2
chr9,116840618,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,94.34,212,10,2,333,543,1818,1608,4.6e-87,324.0,2
chr7,65580692,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,92.056,214,12,4,547,758,1643,1433,6.97e-78,296.0,2
chr8,57072050,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,96.891,193,4,2,7,197,716,524,1.76e-85,322.0,2
chr7,77509893,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,95.327,214,6,4,71,283,1608,1818,6.65e-91,337.0,2
chr11,8818099,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,93.81,210,11,2,1433,1642,1314,1521,1.2e-83,315.0,2
chr10,100093575,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,93.458,214,10,4,103,315,1608,1818,2.74e-84,315.0,2
chr7,56151679,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,92.453,212,14,2,10,220,1608,1818,2.4000000000000003e-80,302.0,2
chr19,41102882,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,91.509,212,16,2,276,486,1608,1818,6.68e-77,291.0,2
chr19,23845119,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,91.905,210,14,3,845,1053,1521,1314,2.07e-76,291.0,2
chr3,15742688,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,93.056,216,13,2,201,415,1433,1647,3.73e-84,315.0,2
chr18,49203112,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,92.683,205,13,2,75,278,1608,1811,6.76e-78,294.0,2
chr3,179087496,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,93.897,213,9,4,1449,1659,1608,1818,1.06e-84,318.0,2
chr17,28456138,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,94.089,203,11,1,955,1157,1818,1617,9.739999999999999e-82,307.0,2
chr17,19627811,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,93.137,204,12,2,504,707,1818,1617,3.54e-79,298.0,2
chr16,75469417,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,90.566,212,17,3,1539,1748,1433,1643,1.5300000000000001e-72,278.0,2
chr3,149380314,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,94.581,203,10,1,1026,1228,1617,1818,2.26e-83,313.0,2
chr1,11770162,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,92.453,212,10,6,683,889,1818,1608,1.08e-78,298.0,2
chr21_KI270873v1_alt,116043,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,93.056,216,8,5,520,734,1818,1609,1.82e-82,309.0,2
chr20,4102182,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,92.166,217,14,3,2008,2224,1483,1696,3.57e-80,303.0,2
chr1,88507126,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,91.163,215,12,4,2027,2239,1434,1643,1.54e-74,285.0,2
chr2,142822432,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,92.523,214,11,5,961,1172,1643,1433,1.29e-79,302.0,2
chr4,83182603,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,92.925,212,10,3,13,220,1608,1818,6.64e-81,303.0,2
chr2,174087491,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,90.952,210,16,3,742,950,1521,1314,4.4800000000000004e-73,279.0,2
chr2,218846808,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,94.419,215,7,4,686,899,1608,1818,4.28e-87,326.0,2
chr1,64384496,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,92.958,213,10,5,1228,1438,1609,1818,6.53e-81,305.0,2
chr1,39234647,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,92.019,213,13,4,258,468,1818,1608,9.24e-79,296.0,2
chr5,176305290,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,92.627,217,11,3,260,475,1608,1820,4.3699999999999996e-82,307.0,2
chr13,45485412,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,93.897,213,11,2,562,774,1818,1608,8.84e-86,320.0,2
chr13,21448226,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,91.038,212,18,1,23,234,1608,1818,3.22e-75,285.0,2
chr13,20123480,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,94.366,213,8,4,1673,1883,1608,1818,2.4e-86,324.0,2
chr12,75844127,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,92.929,198,10,3,1769,1965,1643,1449,9.73e-75,285.0,2
chr7,130591387,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,92.891,211,13,2,420,629,1433,1642,1.8699999999999998e-81,305.0,2
chr7,148989854,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,92.958,213,10,5,1866,2078,1314,1521,8.19e-81,305.0,2
chr7,52054844,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,93.427,213,9,5,1781,1993,1314,1521,1.54e-82,311.0,2
chr7,54732480,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,90.777,206,15,4,746,950,1521,1319,4.01e-71,272.0,2
chr6,144694251,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,91.589,214,13,4,963,1174,1643,1433,3.31e-76,291.0,2
chr5,181082737,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,92.727,220,14,2,552,769,1643,1424,1.06e-84,316.0,2
chr16,1599475,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,91.628,215,13,3,184,397,1608,1818,1.79e-77,292.0,2
chr5,79130726,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,91.388,209,14,4,1573,1780,1316,1521,3.5999999999999995e-74,283.0,2
chr5,82140209,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,94.86,214,7,4,120,332,1608,1818,5.269999999999999e-89,331.0,2
chr6,109047041,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,91.509,212,16,2,9,219,1608,1818,5.65e-77,291.0,2
chr14,34704350,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,92.523,214,11,4,965,1176,1643,1433,1.2500000000000001e-79,302.0,2
chrX,42474016,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,93.396,212,9,5,469,679,1521,1314,1.63e-82,309.0,2
chr9,88626406,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,90.566,212,19,1,5,216,1608,1818,2.7300000000000002e-73,279.0,2
chrX,63189563,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,92.593,216,11,4,608,823,1818,1608,2.59e-81,305.0,2
chr11,119507625,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,95.327,214,9,1,592,805,1741,1529,2.38e-91,339.0,2
chr10,99838925,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,91.892,185,13,2,402,586,1696,1514,4.9299999999999996e-67,257.0,2
chr10,63811281,ENSG00000163093,ENST00000392663;ENST00000295240,ENSE00001237617,BBS5,92.381,210,14,2,364,572,1818,1610,2.8600000000000003e-79,298.0,2
chrX,76218153,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,94.313,211,8,4,1,211,1520,1314,6.36e-86,320.0,2
chr10,21659152,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,94.366,213,9,3,1868,2079,1818,1608,3.06e-86,324.0,2
chr11,44663612,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,92.381,210,13,3,305,513,1314,1521,1.09e-78,296.0,2
chrX,80396884,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,93.365,211,11,3,297,506,1816,1608,1.93e-82,309.0,2
chr11,11926961,ENSG00000163093,ENST00000472667,ENSE00001925804,BBS5,93.897,213,9,4,997,1207,1818,1608,1.09e-84,318.0,2
chr14,21260117,ENSG00000188761,ENST00000369580,ENSE00001450381,BCL2L15,92.347,196,15,0,569,764,1652,1457,1.3900000000000002e-73,279.0,3
chr3,155814056,ENSG00000188761,ENST00000369580,ENSE00001450381,BCL2L15,91.08,213,18,1,1,212,1442,1654,8.54e-76,287.0,3
chr18,3111089,ENSG00000282851,ENST00000635060,ENSE00003815990,BISPR,93.659,205,11,2,2846,3049,1123,1326,1.17e-80,305.0,2
chr8,57072050,ENSG00000248554,ENST00000717670,ENSE00004229216,C5orf34-AS1,95.745,188,7,1,7,193,191,4,4.5800000000000004e-79,302.0,2
chr19,41102882,ENSG00000248554,ENST00000717669;ENST00000717671,ENSE00002079344,C5orf34-AS1,91.282,195,17,0,1,195,702,896,1.13e-69,267.0,3
chr14,21260117,ENSG00000177640,ENST00000781596,ENSE00004153779,CASC2,92.462,199,13,2,568,765,716,913,1.07e-74,283.0,2
chr3,152893522,ENSG00000106144,ENST00000310447,ENSE00001823824,CASP2,92.271,207,15,1,1,206,1517,1311,3.44e-77,292.0,3
chr19,36195648,ENSG00000236830,ENST00000432988,ENSE00001699302,CBR3-AS1,95.5,200,9,0,1,200,601,402,3.17e-85,320.0,3
chr12,118295133,ENSG00000236830,ENST00000432988,ENSE00001699302,CBR3-AS1,92.553,188,13,1,11,197,602,415,3.8700000000000005e-70,268.0,3
chr12,131871548,ENSG00000132024,ENST00000679637,ENSE00003911737,CC2D1A,92.891,211,10,3,591,796,333,543,3.09e-80,302.0,2
chr10,101728712,ENSG00000060339,ENST00000265872,ENSE00001461089,CCAR1,90.187,214,19,2,223,434,807,594,3.59e-73,278.0,2
chr22,37529117,ENSG00000151773,ENST00000476570,ENSE00001810350,CCDC122,94.521,219,12,0,380,598,275,57,1.75e-91,339.0,2
chr21,25880076,ENSG00000135637,ENST00000290418,ENSE00001937149,CCDC142,91.324,219,18,1,290,508,422,639,2.5000000000000003e-79,298.0,2
chr12,49611687,ENSG00000271503,ENST00000651122,ENSE00003848499,CCL5,95.652,184,8,0,2,185,355,538,1.34e-78,296.0,2
chrX,48671413,ENSG00000271503,ENST00000651122,ENSE00003848499,CCL5,92.188,192,15,0,552,743,546,355,2.26e-71,272.0,2
chr17,75431292,ENSG00000271503,ENST00000605140,ENSE00003460965,CCL5,91.628,215,16,1,482,694,504,290,1.25e-78,296.0,2
chr3,152893522,ENSG00000271503,ENST00000651122,ENSE00003848499,CCL5,91.866,209,15,2,1,209,345,551,1.24e-76,291.0,2
chr1,85154441,ENSG00000271503,ENST00000651122,ENSE00003848499,CCL5,91.848,184,14,1,310,492,363,546,1.54e-66,255.0,2
chr14,68356234,ENSG00000271503,ENST00000651122,ENSE00003848499,CCL5,90.411,219,18,2,3,221,331,546,2.11e-75,285.0,2
chr2,128082398,ENSG00000271503,ENST00000605140,ENSE00003460965,CCL5,95.288,191,9,0,783,973,545,355,1.05e-80,303.0,2
chr5,179594578,ENSG00000271503,ENST00000651122,ENSE00003848499,CCL5,90.955,199,17,1,2,199,345,543,2.2999999999999998e-69,267.0,2
chr3,11599600,ENSG00000271503,ENST00000651122,ENSE00003848499,CCL5,90.455,220,19,1,1,218,461,242,1.71e-76,289.0,2
chr19,49169391,ENSG00000271503,ENST00000651122,ENSE00003848499,CCL5,91.209,182,14,2,1,180,436,255,5.18e-63,246.0,2
chrX,15267555,ENSG00000271503,ENST00000651122,ENSE00003848499,CCL5,92.929,198,13,1,32,228,359,556,9.38e-76,287.0,2
chr7,930464,ENSG00000260916,ENST00000563294,ENSE00002608093,CCPG1,91.304,207,17,1,1,207,209,4,3.48e-74,281.0,2
chr19,1327912,ENSG00000260916,ENST00000563294,ENSE00002608093,CCPG1,92.268,194,14,1,1,194,76,268,5.54e-72,274.0,2
chr3,174762375,ENSG00000260916,ENST00000564663,ENSE00002584460,CCPG1,91.878,197,15,1,2300,2495,5,201,2.14e-71,274.0,2
chr21,25880076,ENSG00000260916,ENST00000563294,ENSE00002608093,CCPG1,92.823,209,15,0,300,508,268,60,5.3699999999999985e-81,303.0,2
chr11,8158765,ENSG00000215039,ENST00000536388;ENST00000762179;ENST00000762182;ENST00000762183;ENST00000762184;ENST00000762185;ENST00000762186;ENST00000762188;ENST00000762189,ENSE00004117101,CD27-AS1,91.045,201,12,5,1132,1329,516,319,2.47e-69,267.0,5
chr7,47652446,ENSG00000085117,ENST00000227155,ENSE00002160477,CD82,91.257,183,13,1,42,221,614,432,1.24e-63,246.0,3
chr5,43541207,ENSG00000085117,ENST00000530931,ENSE00002197799,CD82,90.909,220,13,4,1,214,650,432,2.72e-76,289.0,2
chr16,433137,ENSG00000085117,ENST00000227155,ENSE00002160477,CD82,90.909,198,14,1,1,194,630,433,1.34e-68,263.0,2
chr15,33894705,ENSG00000085117,ENST00000227155,ENSE00002160477,CD82,90.556,180,14,1,624,800,433,612,3.19e-60,235.0,3
chr22,37529117,ENSG00000085117,ENST00000524750,ENSE00002167363,CD82,95.0,220,7,2,381,597,433,651,1.35e-92,342.0,3
chr14,21260117,ENSG00000085117,ENST00000524750,ENSE00002167363,CD82,91.96,199,13,1,569,764,434,632,1.8e-72,276.0,3
chr3,155814056,ENSG00000085117,ENST00000227155,ENSE00002160477,CD82,92.788,208,12,1,7,211,640,433,3.9500000000000003e-79,298.0,2
chr22,37529117,ENSG00000153283,ENST00000352690,ENSE00003694913,CD96,94.037,218,13,0,381,598,1904,2121,2.9200000000000007e-89,331.0,2
chr14,21260117,ENSG00000153283,ENST00000352690,ENSE00003694913,CD96,92.857,196,14,0,566,761,1902,2097,2.9900000000000003e-75,285.0,2
chr6,97238860,ENSG00000234694,ENST00000743576,ENSE00004082075,CDC20-DT,92.453,212,15,1,289,500,8,218,1.9000000000000002e-80,302.0,3
chr16,433137,ENSG00000234694,ENST00000743578;ENST00000743577,ENSE00004082063,CDC20-DT,90.217,184,17,1,1,183,194,11,2.26e-61,239.0,3
chrX,15267555,ENSG00000234694,ENST00000743576,ENSE00004082075,CDC20-DT,91.848,184,13,2,32,215,114,295,2.64e-66,255.0,4
chr21,25880076,ENSG00000234694,ENST00000743574,ENSE00004082069,CDC20-DT,91.549,213,18,0,296,508,952,1164,3.23e-78,294.0,4
chr12,131871548,ENSG00000187492,ENST00000343366,ENSE00001772433,CDHR4,91.262,206,15,2,589,791,844,639,5.210000000000001e-73,278.0,2
chr12,36092,ENSG00000187492,ENST00000487256,ENSE00001831183,CDHR4,93.443,183,10,2,150,331,305,486,3.41e-70,270.0,2
chr17,75194495,ENSG00000187492,ENST00000343366,ENSE00001772433,CDHR4,91.133,203,16,2,433,633,597,799,5.300000000000003e-72,274.0,2
chr3,152893522,ENSG00000187492,ENST00000487256,ENSE00001831183,CDHR4,92.462,199,13,2,1,197,513,315,2.07e-74,283.0,2
chr3,11599600,ENSG00000187492,ENST00000487256,ENSE00001831183,CDHR4,92.896,183,11,2,15,195,409,591,2.8799999999999996e-69,265.0,2
